workload,shape_preset,domain,tag,mode,status,elapsed_wall_s,median_ms,p25_ms,p99_ms
llm_moe_router,prefill,llm,softmax,max-autotune-no-cudagraphs,ok,1.0633281919872388,0.15641599893569946,0.1554879993200302,0.15916800498962402
llm_moe_router,prefill,llm,topk,max-autotune-no-cudagraphs,ok,1.0633281919872388,0.15641599893569946,0.1554879993200302,0.15916800498962402
llm_qk_norm,prefill,llm,reduction,eager,ok,1.0962305300636217,0.6272640228271484,0.6263999938964844,0.6288639903068542
llm_qk_norm,prefill,llm,elementwise,eager,ok,1.0962305300636217,0.6272640228271484,0.6263999938964844,0.6288639903068542
llm_qk_norm,prefill,llm,reduction,default,ok,1.020856040995568,0.1868479996919632,0.1863359957933426,0.18854400515556335
llm_qk_norm,prefill,llm,elementwise,default,ok,1.020856040995568,0.1868479996919632,0.1863359957933426,0.18854400515556335
llm_qk_norm,prefill,llm,reduction,reduce-overhead,ok,1.1340117800282314,0.4307520091533661,0.43004798889160156,0.43327999114990234
llm_qk_norm,prefill,llm,elementwise,reduce-overhead,ok,1.1340117800282314,0.4307520091533661,0.43004798889160156,0.43327999114990234
llm_qk_norm,prefill,llm,reduction,max-autotune,ok,1.0780463709961623,0.4320319890975952,0.4312640130519867,0.43456000089645386
llm_qk_norm,prefill,llm,elementwise,max-autotune,ok,1.0780463709961623,0.4320319890975952,0.4312640130519867,0.43456000089645386
llm_qk_norm,prefill,llm,reduction,max-autotune-no-cudagraphs,ok,1.0717010629596189,0.18636800348758698,0.18585599958896637,0.18799999356269836
llm_qk_norm,prefill,llm,elementwise,max-autotune-no-cudagraphs,ok,1.0717010629596189,0.18636800348758698,0.18585599958896637,0.18799999356269836
vlm_patch_embedding_conv2d,prefill,vlm,conv,eager,ok,1.0872431989992037,0.4795520007610321,0.4793280065059662,0.48076799511909485
vlm_patch_embedding_conv2d,prefill,vlm,reshape,eager,ok,1.0872431989992037,0.4795520007610321,0.4793280065059662,0.48076799511909485
vlm_patch_embedding_conv2d,prefill,vlm,conv,default,ok,1.0498891660245135,0.35257598757743835,0.3492799997329712,0.3595840036869049
vlm_patch_embedding_conv2d,prefill,vlm,reshape,default,ok,1.0498891660245135,0.35257598757743835,0.3492799997329712,0.3595840036869049
vlm_patch_embedding_conv2d,prefill,vlm,conv,reduce-overhead,ok,1.0586044189985842,0.36793598532676697,0.3669759929180145,0.37439998984336853
vlm_patch_embedding_conv2d,prefill,vlm,reshape,reduce-overhead,ok,1.0586044189985842,0.36793598532676697,0.3669759929180145,0.37439998984336853
vlm_patch_embedding_conv2d,prefill,vlm,conv,max-autotune,ok,1.0794700370170176,0.34246399998664856,0.3388479948043823,0.3487679958343506
vlm_patch_embedding_conv2d,prefill,vlm,reshape,max-autotune,ok,1.0794700370170176,0.34246399998664856,0.3388479948043823,0.3487679958343506
vlm_patch_embedding_conv2d,prefill,vlm,conv,max-autotune-no-cudagraphs,ok,1.0742050869157538,0.32972800731658936,0.3266560137271881,0.3370240032672882
vlm_patch_embedding_conv2d,prefill,vlm,reshape,max-autotune-no-cudagraphs,ok,1.0742050869157538,0.32972800731658936,0.3266560137271881,0.3370240032672882
vlm_vit_mlp_block,prefill,vlm,layernorm,eager,ok,1.089955158997327,0.2735680043697357,0.2727999985218048,0.2821120023727417
vlm_vit_mlp_block,prefill,vlm,gemm,eager,ok,1.089955158997327,0.2735680043697357,0.2727999985218048,0.2821120023727417
vlm_vit_mlp_block,prefill,vlm,residual,eager,ok,1.089955158997327,0.2735680043697357,0.2727999985218048,0.2821120023727417
vlm_vit_mlp_block,prefill,vlm,layernorm,default,ok,1.018923636060208,0.2657279968261719,0.26499199867248535,0.27587199211120605
vlm_vit_mlp_block,prefill,vlm,gemm,default,ok,1.018923636060208,0.2657279968261719,0.26499199867248535,0.27587199211120605
vlm_vit_mlp_block,prefill,vlm,residual,default,ok,1.018923636060208,0.2657279968261719,0.26499199867248535,0.27587199211120605
vlm_vit_mlp_block,prefill,vlm,layernorm,reduce-overhead,ok,1.0342019679956138,0.2921920120716095,0.29151999950408936,0.2988159954547882
